DATA
54
conv1	-1	582931	NONE	0	5186085	NONE	0	3655299	ALLREDUCE	37632	0
79277656layer1.0.conv1	-1	638976	NONE	0	1547988	NONE	0	1085604	ALLREDUCE	16384	0
79277656layer1.0.conv2	-1	1758288	NONE	0	4239159	NONE	0	3025120	ALLREDUCE	147456	0
79277656layer1.0.conv3	-1	1925434	NONE	0	2634088	NONE	0	3519034	ALLREDUCE	65536	0
79277656layer1.0.downsample.0	-1	2199250	NONE	0	2371672	NONE	0	4061630	ALLREDUCE	65536	0
79277656layer1.1.conv1	-1	1624556	NONE	0	5642402	NONE	0	2172640	ALLREDUCE	65536	0
79277656layer1.1.conv2	-1	2505120	NONE	0	4029600	NONE	0	4300320	ALLREDUCE	147456	0
79277656layer1.1.conv3	-1	1852640	NONE	0	3085504	NONE	0	3446560	ALLREDUCE	65536	0
79277656layer1.2.conv1	-1	1939220	NONE	0	6524916	NONE	0	2544392	ALLREDUCE	65536	0
79277656layer1.2.conv2	-1	2603992	NONE	0	4711560	NONE	0	4448008	ALLREDUCE	147456	0
79277656layer1.2.conv3	-1	2028400	NONE	0	2863406	NONE	0	3898076	ALLREDUCE	65536	0
79277656layer2.0.conv1	-1	2292416	NONE	0	6496912	NONE	0	3543888	ALLREDUCE	131072	0
79277656layer2.0.conv2	-1	3161340	NONE	0	6444438	NONE	0	3850210	ALLREDUCE	589824	0
79277656layer2.0.conv3	-1	1074528	NONE	0	1885010	NONE	0	1838160	ALLREDUCE	262144	0
79277656layer2.0.downsample.0	-1	4475590	NONE	0	10533030	NONE	0	6220810	ALLREDUCE	524288	2000000
79277656layer2.1.conv1	-1	1220800	NONE	0	3850600	NONE	0	1787800	ALLREDUCE	262144	0
79277656layer2.1.conv2	-1	1415052	NONE	0	2222904	NONE	0	2079522	ALLREDUCE	589824	0
79277656layer2.1.conv3	-1	1203200	NONE	0	1485440	NONE	0	2020000	ALLREDUCE	262144	0
79277656layer2.2.conv1	-1	929176	NONE	0	2861552	NONE	0	1368304	ALLREDUCE	262144	0
79277656layer2.2.conv2	-1	1676244	NONE	0	2192249	NONE	0	2424576	ALLREDUCE	589824	6000000
79277656layer2.2.conv3	-1	1032654	NONE	0	1298304	NONE	0	1730520	ALLREDUCE	262144	0
79277656layer2.3.conv1	-1	951756	NONE	0	2951520	NONE	0	1396668	ALLREDUCE	262144	0
79277656layer2.3.conv2	-1	1580800	NONE	0	2444920	NONE	0	2269208	ALLREDUCE	589824	0
79277656layer2.3.conv3	-1	1185948	NONE	0	1460710	NONE	0	1996646	ALLREDUCE	262144	0
79277656layer3.0.conv1	-1	1763040	NONE	0	3820640	NONE	0	2342240	ALLREDUCE	524288	0
79277656layer3.0.conv2	-1	1853852	NONE	0	3325784	NONE	0	2329404	ALLREDUCE	2359296	0
79277656layer3.0.conv3	-1	995360	NONE	0	1768800	NONE	0	1807680	ALLREDUCE	1048576	4000000
79277656layer3.0.downsample.0	-1	2612573	NONE	0	5711109	NONE	0	3577446	ALLREDUCE	2097152	0
79277656layer3.1.conv1	-1	959072	NONE	0	2313584	NONE	0	1758484	ALLREDUCE	1048576	0
79277656layer3.1.conv2	-1	1606696	NONE	0	1770822	NONE	0	1914370	ALLREDUCE	2359296	0
79277656layer3.1.conv3	-1	995400	NONE	0	1731680	NONE	0	1781292	ALLREDUCE	1048576	2000000
79277656layer3.2.conv1	-1	935840	NONE	0	1980320	NONE	0	1508800	ALLREDUCE	1048576	0
79277656layer3.2.conv2	-1	1400000	NONE	0	1937238	NONE	0	1780818	ALLREDUCE	2359296	0
79277656layer3.2.conv3	-1	994610	NONE	0	1635248	NONE	0	1797566	ALLREDUCE	1048576	3000000
79277656layer3.3.conv1	-1	904596	NONE	0	1940400	NONE	0	1459304	ALLREDUCE	1048576	0
79277656layer3.3.conv2	-1	1374296	NONE	0	1920380	NONE	0	1734656	ALLREDUCE	2359296	0
79277656layer3.3.conv3	-1	1025136	NONE	0	1752192	NONE	0	1858626	ALLREDUCE	1048576	4000000
79277656layer3.4.conv1	-1	914628	NONE	0	1948128	NONE	0	1469208	ALLREDUCE	1048576	0
79277656layer3.4.conv2	-1	1378416	NONE	0	1564772	NONE	0	1336998	ALLREDUCE	2359296	0
79277656layer3.4.conv3	-1	723744	NONE	0	1221808	NONE	0	1275120	ALLREDUCE	1048576	5000000
79277656layer3.5.conv1	-1	654416	NONE	0	1912464	NONE	0	1430928	ALLREDUCE	1048576	0
79277656layer3.5.conv2	-1	1352800	NONE	0	1798134	NONE	0	1716232	ALLREDUCE	2359296	0
79277656layer3.5.conv3	-1	938780	NONE	0	1902125	NONE	0	1658998	ALLREDUCE	1048576	1000000
79277656layer4.0.conv1	-1	1951340	NONE	0	3056268	NONE	0	2425200	ALLREDUCE	2097152	0
79277656layer4.0.conv2	-1	1764580	NONE	0	2599062	NONE	0	1939544	ALLREDUCE	9437184	0
